"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","016538","Ancient Ancient Age 1.75L","25.95","2.00","23.95","13.69"
"STRAIGHT BOURBON WHISKEY","016580","Baker's 750ml","48.90","5.00","43.90","58.53"
"STRAIGHT BOURBON WHISKEY","016826","Bird Dog Bourbon 750ml","17.95","2.00","15.95","21.27"
"STRAIGHT BOURBON WHISKEY","017017","Bowman's Bourbon 1L","10.45","1.00","9.45","9.45"
"STRAIGHT BOURBON WHISKEY","017086","Bulleit Bourbon 750ml","30.90","2.00","28.90","38.53"
"STRAIGHT BOURBON WHISKEY","017836","Early Times Bourbon 354 750ml","14.95","2.00","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","018098","Evan Williams 1783 1.75L","28.95","2.00","26.95","15.40"
"STRAIGHT BOURBON WHISKEY","018048","Evan Williams Green 1.75L","20.95","2.00","18.95","10.83"
"STRAIGHT BOURBON WHISKEY","018198","Ezra Brooks 1.75L","24.90","2.00","22.90","13.09"
"STRAIGHT BOURBON WHISKEY","018276","Fighting Cock 750ml","17.95","1.00","16.95","22.60"
"STRAIGHT BOURBON WHISKEY","018348","Four Roses Small Batch Bourbon 750ml","32.95","5.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","018656","Henry McKenna Single Barrel 750ml","26.95","3.00","23.95","31.93"
"STRAIGHT BOURBON WHISKEY","018928","J.T.S. Brown 1.75L","18.50","2.00","16.50","9.43"
"STRAIGHT BOURBON WHISKEY","019006","Jefferson's Reserve 750ml","49.95","2.00","47.95","63.93"
"STRAIGHT BOURBON WHISKEY","019068","Jim Beam 1.75L","30.90","2.00","28.90","16.51"
"STRAIGHT BOURBON WHISKEY","019112","Jim Beam Devil's Cut 750ml","26.95","2.05","24.90","33.20"
"STRAIGHT BOURBON WHISKEY","027410","Jim Beam Honey 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","019032","Jim Beam Jacob's Ghost 750ml","23.95","2.05","21.90","29.20"
"STRAIGHT BOURBON WHISKEY","027392","Jim Beam Maple 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","019036","Jim Beam Signature Craft 12YR 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT BOURBON WHISKEY","019226","Knob Creek 750ml","34.95","4.00","30.95","41.27"
"STRAIGHT BOURBON WHISKEY","027604","Knob Creek Smoked Maple 750ml","34.95","4.00","30.95","41.27"
"STRAIGHT BOURBON WHISKEY","019436","Lexington 750ml","29.95","4.00","25.95","34.60"
"STRAIGHT BOURBON WHISKEY","019638","Mattingly & Moore 1.75L","18.90","2.00","16.90","9.66"
